project_name,comment_id,issue_id,label,URL
HDFS,12978224.0,996,1,https://issues.apache.org/jira/browse/HDFS-996
HADOOP,16510371.0,15407,1,https://issues.apache.org/jira/browse/HADOOP-15407
MAPREDUCE,12713787.0,362,1,https://issues.apache.org/jira/browse/MAPREDUCE-362
MAPREDUCE,12762530.0,962,1,https://issues.apache.org/jira/browse/MAPREDUCE-962
HADOOP,15060924.0,12615,1,https://issues.apache.org/jira/browse/HADOOP-12615
HADOOP,15925245.0,13786,1,https://issues.apache.org/jira/browse/HADOOP-13786
HADOOP,12709632.0,5822,1,https://issues.apache.org/jira/browse/HADOOP-5822
MAPREDUCE,12689344.0,551,1,https://issues.apache.org/jira/browse/MAPREDUCE-551
HADOOP,15317515.0,13243,1,https://issues.apache.org/jira/browse/HADOOP-13243
HADOOP,15845538.0,13929,1,https://issues.apache.org/jira/browse/HADOOP-13929
YARN,14638777.0,3724,1,https://issues.apache.org/jira/browse/YARN-3724
HADOOP,15212815.0,11661,1,https://issues.apache.org/jira/browse/HADOOP-11661
HADOOP,15151818.0,12813,1,https://issues.apache.org/jira/browse/HADOOP-12813
CHUKWA,12677895.0,28,1,https://issues.apache.org/jira/browse/CHUKWA-28
MAPREDUCE,12760156.0,270,1,https://issues.apache.org/jira/browse/MAPREDUCE-270
HADOOP,17223370.0,17336,1,https://issues.apache.org/jira/browse/HADOOP-17336
HDFS,13876266.0,5800,1,https://issues.apache.org/jira/browse/HDFS-5800
HDFS,12713957.0,352,1,https://issues.apache.org/jira/browse/HDFS-352
HADOOP,16039872.0,14521,1,https://issues.apache.org/jira/browse/HADOOP-14521
HADOOP,13478550.0,8887,1,https://issues.apache.org/jira/browse/HADOOP-8887
HADOOP,16102800.0,14683,1,https://issues.apache.org/jira/browse/HADOOP-14683
MAPREDUCE,12731276.0,353,1,https://issues.apache.org/jira/browse/MAPREDUCE-353
HADOOP,13432243.0,8581,1,https://issues.apache.org/jira/browse/HADOOP-8581
HBASE,12555073.0,199,1,https://issues.apache.org/jira/browse/HBASE-199
HADOOP,14954552.0,11684,1,https://issues.apache.org/jira/browse/HADOOP-11684
HADOOP,15376074.0,13351,1,https://issues.apache.org/jira/browse/HADOOP-13351
HADOOP,12594506.0,3297,1,https://issues.apache.org/jira/browse/HADOOP-3297
HBASE,12545713.0,327,1,https://issues.apache.org/jira/browse/HBASE-327
HADOOP,14392198.0,11776,1,https://issues.apache.org/jira/browse/HADOOP-11776
HADOOP,16212496.0,14966,1,https://issues.apache.org/jira/browse/HADOOP-14966
HADOOP,13871825.0,10236,1,https://issues.apache.org/jira/browse/HADOOP-10236
HDFS,13108771.0,46,1,https://issues.apache.org/jira/browse/HDFS-46
HADOOP,12693909.0,5257,1,https://issues.apache.org/jira/browse/HADOOP-5257
HDFS,13564693.0,347,1,https://issues.apache.org/jira/browse/HDFS-347
HADOOP,15962501.0,14225,1,https://issues.apache.org/jira/browse/HADOOP-14225
HADOOP,14146459.0,6964,1,https://issues.apache.org/jira/browse/HADOOP-6964
HDFS,15143870.0,9780,1,https://issues.apache.org/jira/browse/HDFS-9780
HADOOP,14391663.0,11627,1,https://issues.apache.org/jira/browse/HADOOP-11627
HDFS,13250340.0,3094,1,https://issues.apache.org/jira/browse/HDFS-3094
HADOOP,13433769.0,7754,1,https://issues.apache.org/jira/browse/HADOOP-7754
HADOOP,15573835.0,13506,1,https://issues.apache.org/jira/browse/HADOOP-13506
HADOOP,13406779.0,7818,1,https://issues.apache.org/jira/browse/HADOOP-7818
HADOOP,15371212.0,13362,1,https://issues.apache.org/jira/browse/HADOOP-13362
HADOOP,17381318.0,12430,1,https://issues.apache.org/jira/browse/HADOOP-12430
HDFS,12831850.0,930,1,https://issues.apache.org/jira/browse/HDFS-930
HADOOP,13946329.0,10392,1,https://issues.apache.org/jira/browse/HADOOP-10392
HADOOP,13464353.0,8855,1,https://issues.apache.org/jira/browse/HADOOP-8855
HADOOP,15005123.0,12570,1,https://issues.apache.org/jira/browse/HADOOP-12570
HDFS,14981988.0,9323,1,https://issues.apache.org/jira/browse/HDFS-9323
HADOOP,14968021.0,12564,1,https://issues.apache.org/jira/browse/HADOOP-12564
HDFS,12767701.0,127,1,https://issues.apache.org/jira/browse/HDFS-127
HADOOP,12682620.0,5374,1,https://issues.apache.org/jira/browse/HADOOP-5374
HDFS,15669201.0,11140,1,https://issues.apache.org/jira/browse/HDFS-11140
HADOOP,13292195.0,8470,1,https://issues.apache.org/jira/browse/HADOOP-8470
HADOOP,14056879.0,10808,1,https://issues.apache.org/jira/browse/HADOOP-10808
HADOOP,13264056.0,8325,1,https://issues.apache.org/jira/browse/HADOOP-8325
HADOOP,14295576.0,11498,1,https://issues.apache.org/jira/browse/HADOOP-11498
HADOOP,12634358.0,4116,1,https://issues.apache.org/jira/browse/HADOOP-4116
HADOOP,12630213.0,2403,1,https://issues.apache.org/jira/browse/HADOOP-2403
HADOOP,15704025.0,13840,1,https://issues.apache.org/jira/browse/HADOOP-13840
HADOOP,12676459.0,4546,1,https://issues.apache.org/jira/browse/HADOOP-4546
HADOOP,17118624.0,14698,1,https://issues.apache.org/jira/browse/HADOOP-14698
HADOOP,15268870.0,10694,1,https://issues.apache.org/jira/browse/HADOOP-10694
HADOOP,15406866.0,13466,1,https://issues.apache.org/jira/browse/HADOOP-13466
HDFS,12748667.0,15,1,https://issues.apache.org/jira/browse/HDFS-15
HADOOP,14321751.0,10101,1,https://issues.apache.org/jira/browse/HADOOP-10101
HADOOP,14611178.0,12171,1,https://issues.apache.org/jira/browse/HADOOP-12171
HADOOP,12572748.0,2871,1,https://issues.apache.org/jira/browse/HADOOP-2871
HDFS,13039587.0,420,1,https://issues.apache.org/jira/browse/HDFS-420
HADOOP,15936868.0,10101,1,https://issues.apache.org/jira/browse/HADOOP-10101
HADOOP,12655079.0,4789,1,https://issues.apache.org/jira/browse/HADOOP-4789
HDFS,13406592.0,3601,1,https://issues.apache.org/jira/browse/HDFS-3601
HADOOP,15555794.0,13684,1,https://issues.apache.org/jira/browse/HADOOP-13684
HDFS,13499819.0,3495,1,https://issues.apache.org/jira/browse/HDFS-3495
HADOOP,13071834.0,7378,1,https://issues.apache.org/jira/browse/HADOOP-7378
HADOOP,14304126.0,10392,1,https://issues.apache.org/jira/browse/HADOOP-10392
HADOOP,13699698.0,9418,1,https://issues.apache.org/jira/browse/HADOOP-9418
HADOOP,12598795.0,1318,1,https://issues.apache.org/jira/browse/HADOOP-1318
