Project,Issue_id,Comment id,Jira URL,Label,Theme (Code),Theme (Coder 2),Theme (Coder 3)
HADOOP,HADOOP-11588,15416642,https://issues.apache.org/jira/browse/HADOOP-11588,1,Non-reproducible,Unknown,Non-reproducible
HADOOP,HADOOP-12613,15039605,https://issues.apache.org/jira/browse/HADOOP-12613,1,Non-reproducible,Non-reproducible,Non-reproducible
HADOOP,HADOOP-13362,15371212,https://issues.apache.org/jira/browse/HADOOP-13362,1,Non-reproducible,Non-reproducible,Non-reproducible
HADOOP,HADOOP-13929,15808746,https://issues.apache.org/jira/browse/HADOOP-13929,1,Non-reproducible,Non-reproducible,Non-reproducible
HADOOP,HADOOP-16049,16747580,https://issues.apache.org/jira/browse/HADOOP-16049,1,Non-reproducible,Non-reproducible,Concurrent Commits
HADOOP,HADOOP-5252,12673568,https://issues.apache.org/jira/browse/HADOOP-5252,1,Non-reproducible,Non-reproducible,Non-reproducible
HADOOP,HADOOP-5589,12701442,https://issues.apache.org/jira/browse/HADOOP-5589,1,Non-reproducible,Non-reproducible,Non-reproducible
HADOOP,HADOOP-8566,13407745,https://issues.apache.org/jira/browse/HADOOP-8566,1,Non-reproducible,Non-reproducible,Non-reproducible
HBASE,HBASE-15400,15231181,https://issues.apache.org/jira/browse/HBASE-15400,1,Non-reproducible,Non-reproducible,Non-reproducible
HBASE,HBASE-16352,15407116,https://issues.apache.org/jira/browse/HBASE-16352,1,Non-reproducible,Non-reproducible,Configuration-related Issues
HBASE,HBASE-18996,16202848,https://issues.apache.org/jira/browse/HBASE-18996,1,Non-reproducible,Non-reproducible,Unrelated Tests
HBASE,HBASE-19900,16354200,https://issues.apache.org/jira/browse/HBASE-19900,1,Non-reproducible,Non-reproducible,Non-reproducible
HBASE,HBASE-20855,16548349,https://issues.apache.org/jira/browse/HBASE-20855,1,Non-reproducible,Configuration-related Issues,Non-reproducible
HBASE,HBASE-21104,16598272,https://issues.apache.org/jira/browse/HBASE-21104,1,Non-reproducible,Non-reproducible,Non-reproducible
HBASE,HBASE-21266,16645591,https://issues.apache.org/jira/browse/HBASE-21266,1,Non-reproducible,Non-reproducible,Unrelated Tests
HBASE,HBASE-21505,16773258,https://issues.apache.org/jira/browse/HBASE-21505,1,Non-reproducible,Non-reproducible,Non-reproducible
HBASE,HBASE-358,12517846,https://issues.apache.org/jira/browse/HBASE-358,1,Non-reproducible,Concurrent Commits,Non-reproducible
HBASE,HBASE-4798,13153766,https://issues.apache.org/jira/browse/HBASE-4798,1,Non-reproducible,Non-reproducible,Non-reproducible
HBASE,HBASE-5399,13221995,https://issues.apache.org/jira/browse/HBASE-5399,1,Non-reproducible,Non-reproducible,Non-reproducible
HBASE,HBASE-7571,13560327,https://issues.apache.org/jira/browse/HBASE-7571,1,Non-reproducible,Non-reproducible,Non-reproducible
HBASE,HBASE-8539,13657279,https://issues.apache.org/jira/browse/HBASE-8539,1,Non-reproducible,Non-reproducible,External Interference
HBASE,HBASE-9393,15115551,https://issues.apache.org/jira/browse/HBASE-9393,1,Non-reproducible,Non-reproducible,Non-reproducible
HBASE,HBASE-9612,13785505,https://issues.apache.org/jira/browse/HBASE-9612,1,Non-reproducible,Non-reproducible,External Interference
