feature,mean_importance,std_importance
CI Latency,0.35934836470360226,0.002031267752543325
Number of Parallel Issues,0.2898717882571362,0.002013384810484573
Number of Similar Failures,0.11909655209457752,0.0013124708521830817
Number of Prior Comments,0.11551378588128142,0.0015181724375083099
Has Source Code,0.03646440573474599,0.0007824252902367866
Is Reference,0.028590576217477195,0.0008847806971272829
Has Config Files,0.0245998422900035,0.0005796782624021811
Is dependent,0.009450653628744757,0.0003694320048828047
Is Blocker,0.00833552425778706,0.0004104905251322878
Is Container,0.004627644575331341,0.0002532048310618467
Is Duplicate,0.003061778675872901,0.00018694979807970427
Is Required,0.0006245378623755121,8.972049941148984e-05
Is Regression,0.00041454582106444343,5.630590908576012e-05
Is Child-Issue,0.0,0.0
Is Parent Feature,0.0,0.0
Is Dependency,0.0,0.0
Is Cross Projects,0.0,0.0
Is Dependent,0.0,0.0
Is Problem/Incident,0.0,0.0
Is Blocked,0.0,0.0
Is Cloners,0.0,0.0
Is Incorporates,0.0,0.0
Is Supercedes,0.0,0.0
