project_name,comment_id,issue_id,label,deletions,insertions,files,num_parrel_issues,num_prior_comments,if_cross_project,num_parrel_commits,num_of_developers,commit_num,type_id,priority_id,is_share_same_emsg,is_share_similar_emsg,num_of_sf_comments,share_same_emsg,is_Incorporates,is_Duplicate,is_Reference,is_Blocker,is_Cloners,is_Child-Issue,is_dependent,is_Problem/Incident,is_Regression,is_Container,is_Dependent,is_Supercedes,is_Required,is_Parent Feature,is_Blocked,is_Dependency,is_Completes,is_Testing,is_Issue split,time,day,Time_difference,comment_created_at,created,has_config_files,has_source_code,lines_of_source_code_added,lines_of_source_code_deleted,lines_of_source_code_modified,num_of_modified_source_code_files,lines_of_config_file_added,lines_of_config_file_deleted,lines_of_config_file_modified,num_of_modified_config_files,has_contains_code_patch,lines_of_Test_classes_added,lines_of_Test_classes_deleted,lines_of_Test_classes_modified,lines_of_Test_files,has_contain_Test_files
HDDS,16374207.0,75,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1519354301,17585.119224537037,0.0729050925910996,Fri 23 Feb 2018 10:51:41 +0000,Thu 20 Apr 2017 18:44:44 +0000,0.0,1.0,643.0,64.0,707.0,25.0,0.0,0.0,0.0,0.0,1.0,202.0,4.0,206.0,3.0,1.0
HDDS,16376264.0,75,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1519566430,17587.574421296296,2.0080092592579604,Sun 25 Feb 2018 21:47:10 +0000,Thu 20 Apr 2017 18:44:44 +0000,0.0,1.0,646.0,63.0,709.0,25.0,0.0,0.0,0.0,0.0,1.0,200.0,4.0,204.0,3.0,1.0
HDDS,16386609.0,20,0,0.0,0.0,0.0,0,5,0,0,0,0.0,4,3,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520249354,17595.47863425926,0.2211342592599976,Mon 5 Mar 2018 19:29:14 +0000,Mon 5 Mar 2018 13:35:23 +0000,0.0,1.0,174.0,9.0,183.0,17.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,70.0,2.0,1.0
HDDS,16424198.0,44,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522741804,17624.326435185187,0.0526504629633564,Tue 3 Apr 2018 15:50:04 +0000,Mon 2 Apr 2018 15:11:25 +0000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HDDS,16426606.0,39,0,0.0,0.0,0.0,0,1,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522886691,17626.003368055553,0.7413773148145992,Thu 5 Apr 2018 08:04:51 +0000,Tue 3 Apr 2018 13:24:21 +0000,1.0,1.0,150.0,117.0,267.0,39.0,224.0,108.0,332.0,5.0,1.0,5.0,5.0,10.0,3.0,1.0
HDDS,16427512.0,39,0,0.0,0.0,0.0,0,1,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522929455,17626.49832175926,0.4949537037064146,Thu 5 Apr 2018 19:57:35 +0000,Tue 3 Apr 2018 13:24:21 +0000,1.0,1.0,151.0,119.0,270.0,40.0,224.0,108.0,332.0,5.0,1.0,5.0,5.0,10.0,3.0,1.0
HDDS,16434538.0,3,0,0.0,0.0,0.0,0,2,0,0,0,0.0,3,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523450102,17632.524328703705,6.026006944444816,Wed 11 Apr 2018 20:35:02 +0000,Wed 11 Apr 2018 19:04:30 +0000,0.0,1.0,67.0,13.0,80.0,10.0,0.0,0.0,0.0,0.0,1.0,33.0,5.0,38.0,4.0,1.0
HDDS,16435032.0,18,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523488402,17632.96761574074,0.4432870370364981,Thu 12 Apr 2018 07:13:22 +0000,Wed 11 Apr 2018 17:59:26 +0000,0.0,1.0,282.0,151.0,433.0,28.0,0.0,0.0,0.0,0.0,1.0,195.0,95.0,290.0,2.0,1.0
HDDS,16438816.0,16,0,0.0,0.0,0.0,0,2,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523791500,17636.475694444445,0.0970601851840911,Sun 15 Apr 2018 19:25:00 +0000,Tue 21 Nov 2017 12:17:45 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16439638.0,18,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,3,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523865706,17637.334560185187,0.1107175925935735,Mon 16 Apr 2018 16:01:46 +0000,Wed 11 Apr 2018 17:59:26 +0000,0.0,1.0,284.0,153.0,437.0,29.0,0.0,0.0,0.0,0.0,1.0,197.0,98.0,295.0,3.0,1.0
HDDS,16440766.0,33,0,0.0,0.0,0.0,0,3,0,0,0,0.0,6,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523935627,17638.14383101852,0.0453356481484661,Tue 17 Apr 2018 11:27:07 +0000,Mon 16 Apr 2018 10:48:50 +0000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,9.0,39.0,1.0,1.0
HDDS,16442374.0,16,0,0.0,0.0,0.0,0,2,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524023564,17639.16162037037,0.0582407407418941,Wed 18 Apr 2018 11:52:44 +0000,Tue 21 Nov 2017 12:17:45 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16442449.0,19,0,0.0,0.0,0.0,0,3,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524027299,17639.204849537036,0.0432291666656965,Wed 18 Apr 2018 12:54:59 +0000,Mon 16 Apr 2018 11:24:18 +0000,1.0,1.0,47.0,2.0,49.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
HDDS,16442466.0,16,0,0.0,0.0,0.0,0,2,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524028260,17639.215972222224,0.011122685187729,Wed 18 Apr 2018 13:11:00 +0000,Tue 21 Nov 2017 12:17:45 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16442844.0,18,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524041610,17639.37048611111,0.0855902777766459,Wed 18 Apr 2018 16:53:30 +0000,Wed 11 Apr 2018 17:59:26 +0000,0.0,1.0,286.0,153.0,439.0,28.0,0.0,0.0,0.0,0.0,1.0,197.0,93.0,290.0,3.0,1.0
HDDS,16442849.0,19,0,0.0,0.0,0.0,0,3,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524041830,17639.37303240741,0.0025462962985329,Wed 18 Apr 2018 16:57:10 +0000,Mon 16 Apr 2018 11:24:18 +0000,1.0,1.0,53.0,2.0,55.0,3.0,13.0,1.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
HDDS,16444410.0,16,0,0.0,0.0,0.0,0,2,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524129519,17640.38795138889,0.093923611111677,Thu 19 Apr 2018 17:18:39 +0000,Tue 21 Nov 2017 12:17:45 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16452837.0,1,0,0.0,0.0,0.0,0,3,1,0,0,0.0,4,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524652272,17646.438333333335,0.7834490740751789,Wed 25 Apr 2018 18:31:12 +0000,Wed 25 Apr 2018 16:00:26 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16453153.0,3,0,0.0,0.0,0.0,0,2,0,0,0,0.0,3,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524664612,17646.581157407407,0.0585416666654055,Wed 25 Apr 2018 21:56:52 +0000,Wed 11 Apr 2018 19:04:30 +0000,0.0,1.0,67.0,13.0,80.0,10.0,0.0,0.0,0.0,0.0,1.0,33.0,5.0,38.0,4.0,1.0
HDDS,16453364.0,3,0,0.0,0.0,0.0,0,2,0,0,0,0.0,3,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524679829,17646.757280092592,0.1761226851849642,Thu 26 Apr 2018 02:10:29 +0000,Wed 11 Apr 2018 19:04:30 +0000,0.0,1.0,67.0,13.0,80.0,10.0,0.0,0.0,0.0,0.0,1.0,33.0,5.0,38.0,4.0,1.0
HDDS,16455804.0,18,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524780163,17647.91855324074,0.0917939814789861,Fri 27 Apr 2018 06:02:43 +0000,Wed 11 Apr 2018 17:59:26 +0000,0.0,1.0,286.0,153.0,439.0,28.0,0.0,0.0,0.0,0.0,1.0,197.0,93.0,290.0,3.0,1.0
HDDS,16456260.0,33,0,0.0,0.0,0.0,0,3,0,0,0,0.0,6,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524800527,17648.154247685186,0.0403125000011641,Fri 27 Apr 2018 11:42:07 +0000,Mon 16 Apr 2018 10:48:50 +0000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,9.0,39.0,1.0,1.0
HDDS,16456466.0,18,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524808244,17648.243564814813,0.0769444444449618,Fri 27 Apr 2018 13:50:44 +0000,Wed 11 Apr 2018 17:59:26 +0000,0.0,1.0,286.0,153.0,439.0,28.0,0.0,0.0,0.0,0.0,1.0,197.0,93.0,290.0,3.0,1.0
HDDS,16456501.0,18,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524809578,17648.259004629628,0.0154398148151813,Fri 27 Apr 2018 14:12:58 +0000,Wed 11 Apr 2018 17:59:26 +0000,0.0,1.0,286.0,153.0,439.0,28.0,0.0,0.0,0.0,0.0,1.0,197.0,93.0,290.0,3.0,1.0
HDDS,16457760.0,1,0,0.0,0.0,0.0,0,3,1,0,0,0.0,4,3,0,1,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524913698,17649.464097222222,0.219375000000582,Sat 28 Apr 2018 19:08:18 +0000,Wed 25 Apr 2018 16:00:26 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16458619.0,1,0,0.0,0.0,0.0,0,3,1,0,0,0.0,4,3,0,1,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525069194,17651.263819444444,0.0222685185181035,Mon 30 Apr 2018 14:19:54 +0000,Wed 25 Apr 2018 16:00:26 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16459212.0,13,0,0.0,0.0,0.0,0,0,0,0,0,0.0,4,3,0,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525099560,17651.61527777778,0.0241898148160544,Mon 30 Apr 2018 22:46:00 +0000,Mon 30 Apr 2018 18:03:40 +0000,0.0,1.0,1168.0,909.0,2077.0,12.0,0.0,0.0,0.0,0.0,1.0,56.0,43.0,99.0,9.0,1.0
HDDS,16460971.0,16,0,0.0,0.0,0.0,0,2,0,0,0,0.0,4,3,0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525236454,17653.199699074074,0.4050810185181035,Wed 2 May 2018 12:47:34 +0000,Tue 21 Nov 2017 12:17:45 +0000,0.0,1.0,97.0,161.0,258.0,17.0,0.0,0.0,0.0,0.0,1.0,108.0,147.0,255.0,6.0,1.0
HDDS,16461581.0,6,0,0.0,0.0,0.0,3,4,0,0,3,0.0,7,3,0,1,7,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525263565,17653.513483796294,0.0010532407395658,Wed 2 May 2018 20:19:25 +0000,Tue 24 Apr 2018 18:46:47 +0000,1.0,1.0,90.0,10.0,100.0,13.0,52.0,0.0,52.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0
HDDS,16463853.0,18,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525411077,17655.220798611113,0.0158796296309446,Fri 4 May 2018 13:17:57 +0000,Wed 11 Apr 2018 17:59:26 +0000,0.0,1.0,286.0,153.0,439.0,28.0,0.0,0.0,0.0,0.0,1.0,197.0,93.0,290.0,3.0,1.0
HDDS,16463897.0,18,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,3,1,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525413300,17655.246527777777,0.0257291666639503,Fri 4 May 2018 13:55:00 +0000,Wed 11 Apr 2018 17:59:26 +0000,0.0,1.0,407.0,260.0,667.0,32.0,0.0,0.0,0.0,0.0,1.0,212.0,95.0,307.0,5.0,1.0
HDDS,16464215.0,18,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,3,1,1,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525428047,17655.41721064815,0.0539004629645205,Fri 4 May 2018 18:00:47 +0000,Wed 11 Apr 2018 17:59:26 +0000,0.0,1.0,408.0,347.0,755.0,32.0,0.0,0.0,0.0,0.0,1.0,212.0,95.0,307.0,5.0,1.0
HDDS,16464259.0,20,0,0.0,0.0,0.0,0,5,0,0,0,0.0,4,3,1,1,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525430764,17655.448657407407,0.0097222222211712,Fri 4 May 2018 18:46:04 +0000,Mon 5 Mar 2018 13:35:23 +0000,0.0,1.0,179.0,12.0,191.0,17.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,70.0,2.0,1.0
HDDS,16465077.0,1,0,0.0,0.0,0.0,0,3,1,0,0,0.0,4,3,0,1,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525576129,17657.131122685187,0.0611111111138598,Sun 6 May 2018 11:08:49 +0000,Wed 25 Apr 2018 16:00:26 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16465208.0,1,0,0.0,0.0,0.0,0,3,1,0,0,0.0,4,3,0,1,12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525594440,17657.343055555557,0.1541435185208683,Sun 6 May 2018 16:14:00 +0000,Wed 25 Apr 2018 16:00:26 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16465328.0,1,1,0.0,0.0,0.0,0,3,1,0,0,0.0,4,3,0,1,13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525625678,17657.704606481482,0.141076388888905,Mon 7 May 2018 00:54:38 +0000,Wed 25 Apr 2018 16:00:26 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16466070.0,20,0,0.0,0.0,0.0,0,5,0,0,0,0.0,4,3,1,1,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525679892,17658.33208333333,0.0592824074046802,Mon 7 May 2018 15:58:12 +0000,Mon 5 Mar 2018 13:35:23 +0000,0.0,1.0,196.0,12.0,208.0,17.0,0.0,0.0,0.0,0.0,1.0,93.0,0.0,93.0,2.0,1.0
HDDS,16466500.0,1,0,0.0,0.0,0.0,0,3,1,0,0,0.0,4,3,0,1,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525700175,17658.566840277777,0.039618055554456,Mon 7 May 2018 21:36:15 +0000,Wed 25 Apr 2018 16:00:26 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDS,16466708.0,27,0,0.0,0.0,0.0,0,0,0,0,0,0.0,7,3,0,1,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525713159,17658.717118055556,0.0251620370363525,Tue 8 May 2018 01:12:39 +0000,Mon 7 May 2018 23:14:03 +0000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,2.0,1.0
HDDS,16467301.0,20,0,0.0,0.0,0.0,0,5,0,0,0,0.0,4,3,1,1,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525751939,17659.165960648148,0.0725810185176669,Tue 8 May 2018 11:58:59 +0000,Mon 5 Mar 2018 13:35:23 +0000,0.0,1.0,194.0,12.0,206.0,17.0,0.0,0.0,0.0,0.0,1.0,93.0,0.0,93.0,2.0,1.0
HDDS,16467871.0,33,0,0.0,0.0,0.0,0,3,0,0,0,0.0,6,3,1,1,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525779637,17659.486539351852,0.1003587962986785,Tue 8 May 2018 19:40:37 +0000,Mon 16 Apr 2018 10:48:50 +0000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,9.0,1.0,1.0
HDDS,16467955.0,6,1,0.0,0.0,0.0,3,4,0,0,3,0.0,7,3,0,1,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525784058,17659.537708333333,0.0511689814811688,Tue 8 May 2018 20:54:18 +0000,Tue 24 Apr 2018 18:46:47 +0000,1.0,1.0,93.0,23.0,116.0,15.0,33.0,0.0,33.0,2.0,1.0,146.0,1.0,147.0,2.0,1.0
HDDS,16468723.0,18,0,0.0,0.0,0.0,0,3,0,0,0,0.0,4,3,0,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525836673,17660.14667824074,0.0244791666664241,Wed 9 May 2018 11:31:13 +0000,Wed 11 Apr 2018 17:59:26 +0000,0.0,1.0,416.0,350.0,766.0,31.0,0.0,0.0,0.0,0.0,1.0,212.0,95.0,307.0,5.0,1.0
HDDS,16468764.0,20,1,0.0,0.0,0.0,0,5,0,0,0,0.0,4,3,1,1,20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525839643,17660.18105324074,0.0343749999992724,Wed 9 May 2018 12:20:43 +0000,Mon 5 Mar 2018 13:35:23 +0000,0.0,1.0,194.0,12.0,206.0,17.0,0.0,0.0,0.0,0.0,1.0,125.0,0.0,125.0,2.0,1.0
HDDS,16469609.0,6,0,0.0,0.0,0.0,3,4,0,0,3,0.0,7,3,0,1,22,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525875983,17660.601655092592,0.0050231481473019,Wed 9 May 2018 22:26:23 +0000,Tue 24 Apr 2018 18:46:47 +0000,1.0,1.0,94.0,23.0,117.0,14.0,35.0,8.0,43.0,2.0,1.0,162.0,1.0,163.0,3.0,1.0
HDDS,16469908.0,5,1,0.0,0.0,0.0,0,5,0,0,0,0.0,7,3,1,1,22,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525898358,17660.860625,0.0128240740741603,Thu 10 May 2018 04:39:18 +0000,Tue 24 Apr 2018 18:46:16 +0000,1.0,1.0,56.0,8.0,64.0,7.0,30.0,1.0,31.0,1.0,1.0,102.0,33.0,135.0,1.0,1.0
HDDS,16470135.0,21,0,0.0,0.0,0.0,0,4,0,0,0,0.0,4,3,1,1,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525915317,17661.05690972222,0.0162384259238024,Thu 10 May 2018 09:21:57 +0000,Mon 5 Mar 2018 16:49:29 +0000,0.0,1.0,48.0,2.0,50.0,3.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,35.0,2.0,1.0
HDDS,16470186.0,16,0,0.0,0.0,0.0,0,2,0,0,0,0.0,4,3,0,1,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525918622,17661.095162037036,0.0032870370341697,Thu 10 May 2018 10:17:02 +0000,Tue 21 Nov 2017 12:17:45 +0000,0.0,1.0,37.0,37.0,74.0,9.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,10.0,1.0,1.0
HDDS,16470408.0,16,0,0.0,0.0,0.0,0,2,0,0,0,0.0,4,3,1,1,25,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525931638,17661.245810185184,0.0147222222221898,Thu 10 May 2018 13:53:58 +0000,Tue 21 Nov 2017 12:17:45 +0000,0.0,1.0,38.0,38.0,76.0,10.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,10.0,1.0,1.0
HDDS,16470890.0,30,0,0.0,0.0,0.0,0,0,0,0,0,0.0,7,3,0,1,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525946927,17661.422766203705,0.0496875000026193,Thu 10 May 2018 18:08:47 +0000,Mon 7 May 2018 23:23:02 +0000,0.0,1.0,12.0,41.0,53.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,20.0,1.0,1.0
HDDS,16470987.0,31,0,0.0,0.0,0.0,0,0,0,0,0,0.0,7,3,0,1,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525951379,17661.474293981482,0.0075115740728506,Thu 10 May 2018 19:22:59 +0000,Mon 7 May 2018 23:23:49 +0000,0.0,1.0,25.0,6.0,31.0,3.0,0.0,0.0,0.0,0.0,1.0,38.0,42.0,80.0,1.0,1.0
