project_name,comment_id,issue_id,label,deletions,insertions,files,num_parrel_issues,num_prior_comments,if_cross_project,num_parrel_commits,num_of_developers,commit_num,type_id,priority_id,is_share_same_emsg,is_share_similar_emsg,num_of_sf_comments,share_same_emsg,is_Blocker,is_Incorporates,is_Reference,is_dependent,is_Duplicate,is_Regression,is_Cloners,is_Required,is_Supercedes,is_Container,is_Blocked,is_Problem/Incident,is_Child-Issue,is_Parent Feature,is_Dependency,is_Dependent,is_Completes,time,day,Time_difference,comment_created_at,created,has_config_files,has_source_code,lines_of_source_code_added,lines_of_source_code_deleted,lines_of_source_code_modified,num_of_modified_source_code_files,lines_of_config_file_added,lines_of_config_file_deleted,lines_of_config_file_modified,num_of_modified_config_files,has_contains_code_patch,lines_of_Test_classes_added,lines_of_Test_classes_deleted,lines_of_Test_classes_modified,lines_of_Test_files,has_contain_Test_files
YARN,13262667.0,40,0,0.0,0.0,0.0,0,16,1,0,0,0.0,1,3,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335425221,15456.310428240742,0.0516435185199952,Thu 26 Apr 2012 15:27:01 +0000,Mon 16 Apr 2012 09:42:58 +0000,0.0,0.0,473.0,0.0,473.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
YARN,13279995.0,57,0,0.0,0.0,0.0,0,16,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337557170,15480.985763888888,3.923356481480369,Mon 21 May 2012 07:39:30 +0000,Mon 21 May 2012 07:08:57 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13399394.0,29,0,0.0,0.0,0.0,0,4,1,0,0,0.0,7,3,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340351280,15513.325,0.0785995370351884,Fri 22 Jun 2012 15:48:00 +0000,Fri 8 Jun 2012 22:58:35 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13399394.0,29,0,0.0,0.0,0.0,0,4,1,0,0,0.0,7,3,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340351280,15513.325,0.0785995370351884,Fri 22 Jun 2012 15:48:00 +0000,Fri 8 Jun 2012 22:58:35 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13399700.0,29,0,0.0,0.0,0.0,0,4,1,0,0,0.0,7,3,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340377437,15513.627743055556,0.1770949074070813,Fri 22 Jun 2012 23:03:57 +0000,Fri 8 Jun 2012 22:58:35 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13399700.0,29,0,0.0,0.0,0.0,0,4,1,0,0,0.0,7,3,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340377437,15513.627743055556,0.1770949074070813,Fri 22 Jun 2012 23:03:57 +0000,Fri 8 Jun 2012 22:58:35 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13404678.0,138,0,0.0,0.0,0.0,0,11,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341088700,15521.859953703704,0.0150462962956225,Sun 1 Jul 2012 04:38:20 +0000,Tue 5 Jun 2012 12:15:00 +0000,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
YARN,13414298.0,420,0,0.0,0.0,0.0,0,0,1,0,0,0.0,4,3,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342214311,15534.887858796295,0.0325462962955498,Sat 14 Jul 2012 05:18:31 +0000,Tue 10 Jul 2012 20:37:24 +0000,0.0,0.0,155.0,147.0,302.0,13.0,0.0,0.0,0.0,0.0,1.0,120.0,40.0,160.0,3.0,1.0
YARN,13428037.0,57,0,0.0,0.0,0.0,0,16,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343968586,15555.191967592593,0.0103356481449736,Fri 3 Aug 2012 12:36:26 +0000,Mon 21 May 2012 07:08:57 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13429388.0,22,0,0.0,0.0,0.0,0,8,0,0,0,0.0,1,4,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344255269,15558.510057870371,0.0101157407407299,Mon 6 Aug 2012 20:14:29 +0000,Fri 20 Jul 2012 07:34:30 +0000,0.0,0.0,23.0,16.0,39.0,1.0,0.0,0.0,0.0,0.0,1.0,66.0,0.0,66.0,1.0,1.0
