dropout,f1,recall,model,iteration
1,1.0,1.0,PULearning,0
1,1.0,1.0,RandomForest,0
1,1.0,1.0,PULearning,1
1,0.0,0.0,RandomForest,1
1,1.0,1.0,PULearning,2
1,0.0,0.0,RandomForest,2
1,1.0,1.0,PULearning,3
1,1.0,1.0,RandomForest,3
1,1.0,1.0,PULearning,4
1,1.0,1.0,RandomForest,4
1,1.0,1.0,PULearning,5
1,1.0,1.0,RandomForest,5
1,1.0,1.0,PULearning,6
1,0.0,0.0,RandomForest,6
1,1.0,1.0,PULearning,7
1,0.0,0.0,RandomForest,7
1,1.0,1.0,PULearning,8
1,1.0,1.0,RandomForest,8
1,1.0,1.0,PULearning,9
1,1.0,1.0,RandomForest,9
1,0.0,0.0,PULearning,10
1,0.0,0.0,RandomForest,10
1,1.0,1.0,PULearning,11
1,1.0,1.0,RandomForest,11
1,1.0,1.0,PULearning,12
1,0.0,0.0,RandomForest,12
1,1.0,1.0,PULearning,13
1,0.0,0.0,RandomForest,13
1,1.0,1.0,PULearning,14
1,1.0,1.0,RandomForest,14
1,1.0,1.0,PULearning,15
1,0.0,0.0,RandomForest,15
1,0.0,0.0,PULearning,16
1,0.0,0.0,RandomForest,16
1,1.0,1.0,PULearning,17
1,0.0,0.0,RandomForest,17
1,1.0,1.0,PULearning,18
1,0.0,0.0,RandomForest,18
1,1.0,1.0,PULearning,19
1,0.0,0.0,RandomForest,19
1,1.0,1.0,PULearning,20
1,1.0,1.0,RandomForest,20
1,1.0,1.0,PULearning,21
1,0.0,0.0,RandomForest,21
1,1.0,1.0,PULearning,22
1,1.0,1.0,RandomForest,22
1,1.0,1.0,PULearning,23
1,0.0,0.0,RandomForest,23
1,1.0,1.0,PULearning,24
1,0.0,0.0,RandomForest,24
1,1.0,1.0,PULearning,25
1,1.0,1.0,RandomForest,25
1,1.0,1.0,PULearning,26
1,0.0,0.0,RandomForest,26
1,0.0,0.0,PULearning,27
1,0.0,0.0,RandomForest,27
1,1.0,1.0,PULearning,28
1,1.0,1.0,RandomForest,28
1,1.0,1.0,PULearning,29
1,0.0,0.0,RandomForest,29
1,0.0,0.0,PULearning,30
1,0.0,0.0,RandomForest,30
1,1.0,1.0,PULearning,31
1,0.0,0.0,RandomForest,31
1,1.0,1.0,PULearning,32
1,1.0,1.0,RandomForest,32
1,1.0,1.0,PULearning,33
1,1.0,1.0,RandomForest,33
1,1.0,1.0,PULearning,34
1,1.0,1.0,RandomForest,34
1,1.0,1.0,PULearning,35
1,0.0,0.0,RandomForest,35
1,1.0,1.0,PULearning,36
1,0.0,0.0,RandomForest,36
1,1.0,1.0,PULearning,37
1,0.0,0.0,RandomForest,37
1,1.0,1.0,PULearning,38
1,1.0,1.0,RandomForest,38
1,1.0,1.0,PULearning,39
1,0.0,0.0,RandomForest,39
1,1.0,1.0,PULearning,40
1,0.0,0.0,RandomForest,40
1,1.0,1.0,PULearning,41
1,1.0,1.0,RandomForest,41
1,1.0,1.0,PULearning,42
1,0.0,0.0,RandomForest,42
1,1.0,1.0,PULearning,43
1,0.0,0.0,RandomForest,43
1,1.0,1.0,PULearning,44
1,0.0,0.0,RandomForest,44
1,1.0,1.0,PULearning,45
1,0.0,0.0,RandomForest,45
1,1.0,1.0,PULearning,46
1,1.0,1.0,RandomForest,46
1,1.0,1.0,PULearning,47
1,0.0,0.0,RandomForest,47
1,1.0,1.0,PULearning,48
1,1.0,1.0,RandomForest,48
1,1.0,1.0,PULearning,49
1,1.0,1.0,RandomForest,49
1,1.0,1.0,PULearning,50
1,1.0,1.0,RandomForest,50
1,1.0,1.0,PULearning,51
1,1.0,1.0,RandomForest,51
1,1.0,1.0,PULearning,52
1,0.0,0.0,RandomForest,52
1,1.0,1.0,PULearning,53
1,1.0,1.0,RandomForest,53
1,1.0,1.0,PULearning,54
1,0.0,0.0,RandomForest,54
1,1.0,1.0,PULearning,55
1,1.0,1.0,RandomForest,55
1,1.0,1.0,PULearning,56
1,1.0,1.0,RandomForest,56
1,1.0,1.0,PULearning,57
1,1.0,1.0,RandomForest,57
1,1.0,1.0,PULearning,58
1,0.0,0.0,RandomForest,58
1,1.0,1.0,PULearning,59
1,1.0,1.0,RandomForest,59
1,1.0,1.0,PULearning,60
1,0.0,0.0,RandomForest,60
1,1.0,1.0,PULearning,61
1,0.0,0.0,RandomForest,61
1,1.0,1.0,PULearning,62
1,1.0,1.0,RandomForest,62
1,1.0,1.0,PULearning,63
1,0.0,0.0,RandomForest,63
1,1.0,1.0,PULearning,64
1,1.0,1.0,RandomForest,64
1,1.0,1.0,PULearning,65
1,1.0,1.0,RandomForest,65
1,0.0,0.0,PULearning,66
1,0.0,0.0,RandomForest,66
1,1.0,1.0,PULearning,67
1,1.0,1.0,RandomForest,67
1,1.0,1.0,PULearning,68
1,0.0,0.0,RandomForest,68
1,1.0,1.0,PULearning,69
1,0.0,0.0,RandomForest,69
1,1.0,1.0,PULearning,70
1,0.0,0.0,RandomForest,70
1,1.0,1.0,PULearning,71
1,1.0,1.0,RandomForest,71
1,1.0,1.0,PULearning,72
1,1.0,1.0,RandomForest,72
1,1.0,1.0,PULearning,73
1,0.0,0.0,RandomForest,73
1,1.0,1.0,PULearning,74
1,1.0,1.0,RandomForest,74
1,1.0,1.0,PULearning,75
1,0.0,0.0,RandomForest,75
1,1.0,1.0,PULearning,76
1,1.0,1.0,RandomForest,76
1,1.0,1.0,PULearning,77
1,1.0,1.0,RandomForest,77
1,1.0,1.0,PULearning,78
1,1.0,1.0,RandomForest,78
1,1.0,1.0,PULearning,79
1,1.0,1.0,RandomForest,79
1,1.0,1.0,PULearning,80
1,1.0,1.0,RandomForest,80
1,1.0,1.0,PULearning,81
1,1.0,1.0,RandomForest,81
1,1.0,1.0,PULearning,82
1,1.0,1.0,RandomForest,82
1,1.0,1.0,PULearning,83
1,0.0,0.0,RandomForest,83
1,1.0,1.0,PULearning,84
1,1.0,1.0,RandomForest,84
1,1.0,1.0,PULearning,85
1,1.0,1.0,RandomForest,85
1,1.0,1.0,PULearning,86
1,1.0,1.0,RandomForest,86
1,1.0,1.0,PULearning,87
1,1.0,1.0,RandomForest,87
1,1.0,1.0,PULearning,88
1,1.0,1.0,RandomForest,88
1,1.0,1.0,PULearning,89
1,1.0,1.0,RandomForest,89
1,1.0,1.0,PULearning,90
1,0.0,0.0,RandomForest,90
1,1.0,1.0,PULearning,91
1,1.0,1.0,RandomForest,91
1,1.0,1.0,PULearning,92
1,0.0,0.0,RandomForest,92
1,1.0,1.0,PULearning,93
1,1.0,1.0,RandomForest,93
1,1.0,1.0,PULearning,94
1,1.0,1.0,RandomForest,94
1,1.0,1.0,PULearning,95
1,1.0,1.0,RandomForest,95
1,1.0,1.0,PULearning,96
1,1.0,1.0,RandomForest,96
1,1.0,1.0,PULearning,97
1,1.0,1.0,RandomForest,97
1,1.0,1.0,PULearning,98
1,1.0,1.0,RandomForest,98
1,1.0,1.0,PULearning,99
1,0.0,0.0,RandomForest,99
2,1.0,1.0,PULearning,0
2,0.6666666666666666,0.5,RandomForest,0
2,1.0,1.0,PULearning,1
2,1.0,1.0,RandomForest,1
2,0.6666666666666666,0.5,PULearning,2
2,0.0,0.0,RandomForest,2
2,1.0,1.0,PULearning,3
2,0.0,0.0,RandomForest,3
2,1.0,1.0,PULearning,4
2,0.0,0.0,RandomForest,4
2,0.6666666666666666,0.5,PULearning,5
2,0.0,0.0,RandomForest,5
2,0.6666666666666666,0.5,PULearning,6
2,0.6666666666666666,0.5,RandomForest,6
2,1.0,1.0,PULearning,7
2,1.0,1.0,RandomForest,7
2,1.0,1.0,PULearning,8
2,0.6666666666666666,0.5,RandomForest,8
2,0.6666666666666666,0.5,PULearning,9
2,0.6666666666666666,0.5,RandomForest,9
2,1.0,1.0,PULearning,10
2,0.6666666666666666,0.5,RandomForest,10
2,0.6666666666666666,0.5,PULearning,11
2,0.0,0.0,RandomForest,11
2,1.0,1.0,PULearning,12
2,1.0,1.0,RandomForest,12
2,1.0,1.0,PULearning,13
2,1.0,1.0,RandomForest,13
2,1.0,1.0,PULearning,14
2,1.0,1.0,RandomForest,14
2,0.6666666666666666,0.5,PULearning,15
