dropout,f1,recall,model,iteration
1,1.0,1.0,PULearning,0
1,0.0,0.0,RandomForest,0
1,1.0,1.0,PULearning,1
1,1.0,1.0,RandomForest,1
1,1.0,1.0,PULearning,2
1,1.0,1.0,RandomForest,2
1,1.0,1.0,PULearning,3
1,1.0,1.0,RandomForest,3
1,1.0,1.0,PULearning,4
1,1.0,1.0,RandomForest,4
1,1.0,1.0,PULearning,5
1,1.0,1.0,RandomForest,5
1,1.0,1.0,PULearning,6
1,0.0,0.0,RandomForest,6
1,1.0,1.0,PULearning,7
1,1.0,1.0,RandomForest,7
1,1.0,1.0,PULearning,8
1,1.0,1.0,RandomForest,8
1,1.0,1.0,PULearning,9
1,1.0,1.0,RandomForest,9
1,1.0,1.0,PULearning,10
1,0.0,0.0,RandomForest,10
1,1.0,1.0,PULearning,11
1,0.0,0.0,RandomForest,11
1,1.0,1.0,PULearning,12
1,0.0,0.0,RandomForest,12
1,1.0,1.0,PULearning,13
1,0.0,0.0,RandomForest,13
1,1.0,1.0,PULearning,14
1,1.0,1.0,RandomForest,14
1,1.0,1.0,PULearning,15
1,1.0,1.0,RandomForest,15
1,1.0,1.0,PULearning,16
1,1.0,1.0,RandomForest,16
1,1.0,1.0,PULearning,17
1,1.0,1.0,RandomForest,17
1,1.0,1.0,PULearning,18
1,0.0,0.0,RandomForest,18
1,1.0,1.0,PULearning,19
1,1.0,1.0,RandomForest,19
1,1.0,1.0,PULearning,20
1,1.0,1.0,RandomForest,20
1,1.0,1.0,PULearning,21
1,1.0,1.0,RandomForest,21
1,1.0,1.0,PULearning,22
1,1.0,1.0,RandomForest,22
1,1.0,1.0,PULearning,23
1,1.0,1.0,RandomForest,23
1,1.0,1.0,PULearning,24
1,0.0,0.0,RandomForest,24
1,1.0,1.0,PULearning,25
1,1.0,1.0,RandomForest,25
1,1.0,1.0,PULearning,26
1,1.0,1.0,RandomForest,26
1,1.0,1.0,PULearning,27
1,1.0,1.0,RandomForest,27
1,1.0,1.0,PULearning,28
1,1.0,1.0,RandomForest,28
1,1.0,1.0,PULearning,29
1,1.0,1.0,RandomForest,29
1,1.0,1.0,PULearning,30
1,0.0,0.0,RandomForest,30
1,1.0,1.0,PULearning,31
1,0.0,0.0,RandomForest,31
1,1.0,1.0,PULearning,32
1,1.0,1.0,RandomForest,32
1,1.0,1.0,PULearning,33
1,1.0,1.0,RandomForest,33
1,1.0,1.0,PULearning,34
1,1.0,1.0,RandomForest,34
1,1.0,1.0,PULearning,35
1,0.0,0.0,RandomForest,35
1,1.0,1.0,PULearning,36
1,0.0,0.0,RandomForest,36
1,1.0,1.0,PULearning,37
1,1.0,1.0,RandomForest,37
