feature_name,importance_mean,importance_std,metric
CI Latency,0.0,0.0,recall
Is Child-Issue,0.0,0.0,recall
Number of Prior Comments,0.0,0.0,recall
Number of Similar Failures,0.0,0.0,recall
Is Shared Same Emsg,0.0,0.0,recall
Is dependent,0.0,0.0,recall
Is Blocker,0.0,0.0,recall
Is Reference,0.0,0.0,recall
Is Incorporates,0.0,0.0,recall
Is Regression,0.0,0.0,recall
Is Cloners,0.0,0.0,recall
Is Required,0.0,0.0,recall
Has Code Patch,0.0,0.0,recall
Is Supercedes,0.0,0.0,recall
Is Container,0.0,0.0,recall
Is Problem/Incident,0.0,0.0,recall
Is Blocked,0.0,0.0,recall
Is Completes,0.0,0.0,recall
Is Dependent,0.0,0.0,recall
Is Parent Feature,0.0,0.0,recall
Is Dependency,0.0,0.0,recall
Config Lines Modified,0.0,0.0,recall
Number of Parallel Issues,0.0,0.0,recall
CI Latency,0.0,0.0,recall
Is Child-Issue,0.0,0.0,recall
Number of Prior Comments,0.0,0.0,recall
Number of Similar Failures,0.0,0.0,recall
Is Shared Same Emsg,0.0,0.0,recall
Is dependent,0.0,0.0,recall
Is Blocker,0.0,0.0,recall
Is Reference,0.0,0.0,recall
Is Incorporates,0.0,0.0,recall
Is Regression,0.0,0.0,recall
Is Cloners,0.0,0.0,recall
Is Required,0.0,0.0,recall
Has Code Patch,0.0,0.0,recall
Is Supercedes,0.0,0.0,recall
Is Container,0.0,0.0,recall
Is Problem/Incident,0.0,0.0,recall
Is Blocked,0.0,0.0,recall
Is Completes,0.0,0.0,recall
Is Dependent,0.0,0.0,recall
Is Parent Feature,0.0,0.0,recall
Is Dependency,0.0,0.0,recall
Config Lines Modified,0.0,0.0,recall
Number of Parallel Issues,0.0,0.0,recall
CI Latency,0.0,0.0,f1
Is Child-Issue,0.0,0.0,f1
Number of Prior Comments,0.0,0.0,f1
Number of Similar Failures,0.0,0.0,f1
Is Shared Same Emsg,0.0,0.0,f1
Is dependent,0.0,0.0,f1
Is Blocker,0.0,0.0,f1
Is Reference,0.0,0.0,f1
Is Incorporates,0.0,0.0,f1
Is Regression,0.0,0.0,f1
Is Cloners,0.0,0.0,f1
Is Required,0.0,0.0,f1
Has Code Patch,0.0,0.0,f1
