pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified
44751,https://github.com/keycloak/keycloak/pull/44751,58312244449,Build distribution,https://github.com/keycloak/keycloak/actions/runs/20302755953/job/58312244449,8e34c222c052b31734e9b677ccdaa39e7881ed49,2025-12-17T12:26:27Z,2025-12-17T12:32:09Z,2025-12-08T15:34:41Z,shawkins,False,1,5,1,8.869282407407407,False,True,47,True,1,7,0,7,False,0,0,0,0
44751,https://github.com/keycloak/keycloak/pull/44751,58312754300,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20302755953/job/58312754300,8e34c222c052b31734e9b677ccdaa39e7881ed49,2025-12-17T12:32:12Z,2025-12-17T12:32:20Z,2025-12-08T15:34:41Z,shawkins,False,1,5,1,8.873275462962964,False,False,0,True,1,7,0,7,False,0,0,0,0
44751,https://github.com/keycloak/keycloak/pull/44751,58312234794,Build,https://github.com/keycloak/keycloak/actions/runs/20302755949/job/58312234794,8e34c222c052b31734e9b677ccdaa39e7881ed49,2025-12-17T12:26:21Z,2025-12-17T12:32:11Z,2025-12-08T15:34:41Z,shawkins,False,1,5,1,8.869212962962964,False,True,46,True,1,7,0,7,False,0,0,0,0
44751,https://github.com/keycloak/keycloak/pull/44751,58312757656,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20302755949/job/58312757656,8e34c222c052b31734e9b677ccdaa39e7881ed49,2025-12-17T12:32:13Z,2025-12-17T12:32:23Z,2025-12-08T15:34:41Z,shawkins,False,1,5,1,8.873287037037038,False,False,0,True,1,7,0,7,False,0,0,0,0
45055,https://github.com/keycloak/keycloak/pull/45055,58661955630,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20414669897/job/58661955630,a7da8a409eec27ba44a2412bf7c5530fb466bae0,2025-12-21T22:45:59Z,2025-12-21T22:46:07Z,2025-12-21T19:23:46Z,stephaneberle9,False,0,2,0,0.14042824074074073,False,False,0,False,0,0,0,0,True,3,62,4,66
45050,https://github.com/keycloak/keycloak/pull/45050,58566523839,"Quarkus IT (windows-latest, win)",https://github.com/keycloak/keycloak/actions/runs/20379461752/job/58566523839,9555b7a025653746e79e41f0a696d0fbd3de9073,2025-12-19T18:53:49Z,2025-12-19T19:12:34Z,2025-12-19T18:15:44Z,shawkins,False,1,14,1,0.02644675925925926,False,False,0,False,0,0,0,0,True,3,64,34,98
45050,https://github.com/keycloak/keycloak/pull/45050,58570611485,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20379461752/job/58570611485,9555b7a025653746e79e41f0a696d0fbd3de9073,2025-12-19T19:47:38Z,2025-12-19T19:47:45Z,2025-12-19T18:15:44Z,shawkins,False,1,14,1,0.06381944444444444,False,False,0,False,0,0,0,0,True,3,64,34,98
44897,https://github.com/keycloak/keycloak/pull/44897,58630172817,External links check,https://github.com/keycloak/keycloak/actions/runs/20403770440/job/58630172817,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:03:25Z,2025-12-21T03:06:19Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.000243055555556,False,True,62,True,15,105,105,210,False,0,0,0,0
44897,https://github.com/keycloak/keycloak/pull/44897,58630445876,Test OLM installation,https://github.com/keycloak/keycloak/actions/runs/20403770444/job/58630445876,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:14:59Z,2025-12-21T03:17:54Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.008275462962963,False,False,0,True,15,105,105,210,False,0,0,0,0
44897,https://github.com/keycloak/keycloak/pull/44897,58631269415,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20403770444/job/58631269415,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:43:25Z,2025-12-21T03:43:33Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.028020833333334,False,False,0,True,15,105,105,210,False,0,0,0,0
44897,https://github.com/keycloak/keycloak/pull/44897,58630449872,Store IT (mysql),https://github.com/keycloak/keycloak/actions/runs/20403770439/job/58630449872,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:15:09Z,2025-12-21T03:15:45Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.008391203703703,False,False,0,True,15,105,105,210,False,0,0,0,0
44897,https://github.com/keycloak/keycloak/pull/44897,58630449874,Store IT (postgres),https://github.com/keycloak/keycloak/actions/runs/20403770439/job/58630449874,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:15:09Z,2025-12-21T03:15:47Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.008391203703703,False,False,0,True,15,105,105,210,False,0,0,0,0
44897,https://github.com/keycloak/keycloak/pull/44897,58630449875,Store IT (mssql),https://github.com/keycloak/keycloak/actions/runs/20403770439/job/58630449875,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:15:08Z,2025-12-21T03:15:45Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.00837962962963,False,False,0,True,15,105,105,210,False,0,0,0,0
44897,https://github.com/keycloak/keycloak/pull/44897,58630449878,Store IT (mariadb),https://github.com/keycloak/keycloak/actions/runs/20403770439/job/58630449878,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:15:08Z,2025-12-21T03:15:48Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.00837962962963,False,False,0,True,15,105,105,210,False,0,0,0,0
44897,https://github.com/keycloak/keycloak/pull/44897,58630449881,Store IT (oracle),https://github.com/keycloak/keycloak/actions/runs/20403770439/job/58630449881,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:15:09Z,2025-12-21T03:15:45Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.008391203703703,False,False,0,True,15,105,105,210,False,0,0,0,0
44897,https://github.com/keycloak/keycloak/pull/44897,58631802893,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20403770439/job/58631802893,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:55:34Z,2025-12-21T03:55:43Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.036458333333333,False,False,0,True,15,105,105,210,False,0,0,0,0
44999,https://github.com/keycloak/keycloak/pull/44999,58565068692,"Java Distribution IT/UT (windows-latest, temurin, 25)",https://github.com/keycloak/keycloak/actions/runs/20379038042/job/58565068692,4089222701a11025d7cf0cb332a6d0bf90a2089c,2025-12-19T18:34:44Z,2025-12-19T18:43:07Z,2025-12-18T13:30:59Z,sguilhen,False,0,14,1,1.2109375,True,False,0,False,0,0,0,0,True,5,58,34,92
44999,https://github.com/keycloak/keycloak/pull/44999,58569329738,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20379038042/job/58569329738,4089222701a11025d7cf0cb332a6d0bf90a2089c,2025-12-19T19:30:12Z,2025-12-19T19:30:21Z,2025-12-18T13:30:59Z,sguilhen,False,0,14,1,1.2494560185185186,True,False,0,False,0,0,0,0,True,5,58,34,92
44496,https://github.com/keycloak/keycloak/pull/44496,58551940137,External links check,https://github.com/keycloak/keycloak/actions/runs/20375254339/job/58551940137,6d6193b7c24a16270c5908f393f9d8a1b14341a7,2025-12-19T15:57:24Z,2025-12-19T15:58:50Z,2025-11-26T11:25:50Z,Pepo48,False,1,14,10,23.188587962962963,True,True,61,True,4,88,2,90,True,7,728,31,759
44506,https://github.com/keycloak/keycloak/pull/44506,58521037973,External links check,https://github.com/keycloak/keycloak/actions/runs/20365975952/job/58521037973,d4477c342d5155d18ed92e83db1dbf0e11ead94d,2025-12-19T09:36:59Z,2025-12-19T09:38:10Z,2025-11-26T19:04:30Z,slaskawi,False,2,14,13,22.605891203703703,True,True,59,False,0,0,0,0,True,7,85,35,120
36161,https://github.com/keycloak/keycloak/pull/36161,58525800150,External links check,https://github.com/keycloak/keycloak/actions/runs/20367441848/job/58525800150,a9df28440227b8e7615e515f73ed56bd73bd30f7,2025-12-19T10:36:59Z,2025-12-19T10:40:32Z,2024-12-29T17:54:30Z,seiferma,True,2,14,5,354.6961689814815,False,True,60,False,0,0,0,0,True,3,20,16,36
45030,https://github.com/keycloak/keycloak/pull/45030,58524861785,Test local apiserver,https://github.com/keycloak/keycloak/actions/runs/20367050007/job/58524861785,0da8fa49941d55a1c65cfcd6ffe67a112250405b,2025-12-19T10:24:51Z,2025-12-19T10:30:33Z,2025-12-19T10:20:26Z,lhanusov,True,1,14,0,0.0030671296296296297,True,True,36,False,0,0,0,0,True,1,2,0,2
45030,https://github.com/keycloak/keycloak/pull/45030,58524861801,Test remote (fast),https://github.com/keycloak/keycloak/actions/runs/20367050007/job/58524861801,0da8fa49941d55a1c65cfcd6ffe67a112250405b,2025-12-19T10:24:51Z,2025-12-19T10:49:12Z,2025-12-19T10:20:26Z,lhanusov,True,1,14,0,0.0030671296296296297,True,True,34,False,0,0,0,0,True,1,2,0,2
45030,https://github.com/keycloak/keycloak/pull/45030,58526736913,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20367050007/job/58526736913,0da8fa49941d55a1c65cfcd6ffe67a112250405b,2025-12-19T10:49:31Z,2025-12-19T10:49:39Z,2025-12-19T10:20:26Z,lhanusov,True,1,14,0,0.020196759259259258,True,False,0,False,0,0,0,0,True,1,2,0,2
44995,https://github.com/keycloak/keycloak/pull/44995,58440184444,Test local apiserver,https://github.com/keycloak/keycloak/actions/runs/20340899337/job/58440184444,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T14:54:16Z,2025-12-18T15:00:13Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.11663194444444444,False,True,31,False,0,0,0,0,True,5,9,5,14
44995,https://github.com/keycloak/keycloak/pull/44995,58440184486,Test remote (fast),https://github.com/keycloak/keycloak/actions/runs/20340899337/job/58440184486,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T14:54:16Z,2025-12-18T15:20:53Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.11663194444444444,False,True,29,False,0,0,0,0,True,5,9,5,14
44995,https://github.com/keycloak/keycloak/pull/44995,58443189671,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20340899337/job/58443189671,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T15:21:12Z,2025-12-18T15:21:20Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.13533564814814814,False,False,0,False,0,0,0,0,True,5,9,5,14
44995,https://github.com/keycloak/keycloak/pull/44995,58440220641,Base IT (6),https://github.com/keycloak/keycloak/actions/runs/20340899282/job/58440220641,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T14:54:36Z,2025-12-18T15:00:26Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.11686342592592593,False,False,0,False,0,0,0,0,True,5,9,5,14
