pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified,label,label_reason
43388,https://github.com/keycloak/keycloak/pull/43388,54094167997,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/18945010775/job/54094167997,ece1d753616490a4da17b4523df4d5ab543a464c,2025-10-30T15:01:06Z,2025-10-30T15:01:12Z,2025-10-13T00:13:22Z,dependabot[bot],False,0,21,4,17.616481481481483,False,False,0,True,4,13,13,26,False,0,0,0,0,Q,High CI latency (17.6 days)
43249,https://github.com/keycloak/keycloak/pull/43249,52139306551,External links check,https://github.com/keycloak/keycloak/actions/runs/18310991048/job/52139306551,8bc10eba6cf69ae817bea331fb139dae9a8e51c9,2025-10-07T11:20:43Z,2025-10-07T11:22:03Z,2025-10-07T11:20:23Z,martin-kanis,False,0,14,0,0.0002314814814814,False,True,5,False,0,0,0,0,True,7,247,14,261,Q,Infrastructure job: External links check
43892,https://github.com/keycloak/keycloak/pull/43892,54348465406,Store IT (oracle),https://github.com/keycloak/keycloak/actions/runs/19032005071/job/54348465406,66c76e4ed7834f01754be8624e9cb530aa8f3f94,2025-11-03T10:56:19Z,2025-11-03T11:27:07Z,2025-11-03T07:38:33Z,keshavprashantdeshpande,False,0,12,0,0.1373379629629629,False,True,24,True,1,8,0,8,True,4,134,13,147,Q,Shared error with 24 similar failure(s)
43952,https://github.com/keycloak/keycloak/pull/43952,54559635475,Quarkus UT (ubuntu-latest),https://github.com/keycloak/keycloak/actions/runs/19096957921/job/54559635475,e731df85294fb5587c75a8684618b2890cd64903,2025-11-05T09:17:17Z,2025-11-05T09:19:04Z,2025-11-05T07:48:55Z,ahus1,False,0,13,1,0.0613657407407407,True,True,13,False,0,0,0,0,True,2,3,4,7,Q,Shared error with 13 similar failure(s)
44874,https://github.com/keycloak/keycloak/pull/44874,58088902921,Admin UI E2E (chromium),https://github.com/keycloak/keycloak/actions/runs/20235335432/job/58088902921,dc78fbe8cf9c35301214eeeaee83cff245ce6faf,2025-12-15T14:19:54Z,2025-12-15T14:37:01Z,2025-12-12T10:36:27Z,forkimenjeckayang,False,0,10,0,3.155173611111111,False,False,0,False,0,0,0,0,True,2,60,55,115,N,No clear unrelated indicator
44897,https://github.com/keycloak/keycloak/pull/44897,58631269415,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20403770444/job/58631269415,a1d5b4bf17045f17bf1a142284c1d1f5550e9082,2025-12-21T03:43:25Z,2025-12-21T03:43:33Z,2025-12-14T03:03:04Z,dependabot[bot],False,0,2,0,7.028020833333334,False,False,0,True,15,105,105,210,False,0,0,0,0,Q,High CI latency (7.0 days)
40767,https://github.com/keycloak/keycloak/pull/40767,56798348541,Build,https://github.com/keycloak/keycloak/actions/runs/19825682916/job/56798348541,ee99112b114f3077635e4876cb7c66c060d1d79d,2025-12-01T14:15:10Z,2025-12-01T14:18:13Z,2025-06-27T18:54:06Z,twobiers,False,2,6,9,156.8062962962963,False,True,40,True,21,345,47,392,True,273,3492,1676,5168,Q,Shared error with 40 similar failure(s)
44307,https://github.com/keycloak/keycloak/pull/44307,55791316865,Forms IT (chrome),https://github.com/keycloak/keycloak/actions/runs/19493740819/job/55791316865,6eb5543150efafcf1d237e726f77d7b54b3d6c43,2025-11-19T07:49:55Z,2025-11-19T08:28:21Z,2025-11-18T19:01:54Z,SferaDev,False,2,16,0,0.5333449074074074,False,True,3,True,1,2,0,2,True,11,1572,0,1572,Q,Shared error with 3 similar failure(s)
40586,https://github.com/keycloak/keycloak/pull/40586,54966949917,Build,https://github.com/keycloak/keycloak/actions/runs/19230269584/job/54966949917,bbd59077a7c5aaa24e72b51e61026ecdd12f63fd,2025-11-10T11:36:54Z,2025-11-10T11:37:54Z,2025-06-18T10:33:06Z,SferaDev,False,1,22,3,145.04430555555555,False,True,43,True,3,175,0,175,True,40,5606,2,5608,Q,Shared error with 43 similar failure(s)
45012,https://github.com/keycloak/keycloak/pull/45012,58450519158,Test remote (fast),https://github.com/keycloak/keycloak/actions/runs/20343723516/job/58450519158,d31e5ddd9c080e8a5e97fa2dcdc6cc1765f6470b,2025-12-18T16:28:37Z,2025-12-18T16:55:19Z,2025-12-18T16:24:06Z,vaceksimon,False,0,22,0,0.003136574074074,False,True,31,True,1,36,32,68,True,3,34,8,42,Q,Shared error with 31 similar failure(s)
45050,https://github.com/keycloak/keycloak/pull/45050,58566523839,"Quarkus IT (windows-latest, win)",https://github.com/keycloak/keycloak/actions/runs/20379461752/job/58566523839,9555b7a025653746e79e41f0a696d0fbd3de9073,2025-12-19T18:53:49Z,2025-12-19T19:12:34Z,2025-12-19T18:15:44Z,shawkins,False,1,14,1,0.0264467592592592,False,False,0,False,0,0,0,0,True,3,64,34,98,N,No clear unrelated indicator
40767,https://github.com/keycloak/keycloak/pull/40767,56798349590,Build distribution,https://github.com/keycloak/keycloak/actions/runs/19825682922/job/56798349590,ee99112b114f3077635e4876cb7c66c060d1d79d,2025-12-01T14:15:07Z,2025-12-01T14:18:07Z,2025-06-27T18:54:06Z,twobiers,False,2,6,9,156.80626157407409,False,True,38,True,21,345,47,392,True,273,3492,1676,5168,Q,Shared error with 38 similar failure(s)
44982,https://github.com/keycloak/keycloak/pull/44982,58387651611,Account UI,https://github.com/keycloak/keycloak/actions/runs/20324805514/job/58387651611,29d28bb5650281b7a95cd829cbf957f685034ba8,2025-12-18T03:15:16Z,2025-12-18T03:16:01Z,2025-12-18T03:14:59Z,dependabot[bot],False,0,22,0,0.0001967592592592,False,False,0,True,9,1108,1446,2554,False,0,0,0,0,N,No clear unrelated indicator
43426,https://github.com/keycloak/keycloak/pull/43426,53518401694,UI Shared,https://github.com/keycloak/keycloak/actions/runs/18759024321/job/53518401694,54ee206e2a005d0dd30dc4c9525065091e66eb6d,2025-10-23T19:02:12Z,2025-10-23T19:02:45Z,2025-10-14T00:12:11Z,dependabot[bot],False,0,11,5,9.784733796296296,False,False,0,True,2,69,69,138,False,0,0,0,0,Q,High CI latency (9.8 days)
43892,https://github.com/keycloak/keycloak/pull/43892,54348465429,Store IT (mariadb),https://github.com/keycloak/keycloak/actions/runs/19032005071/job/54348465429,66c76e4ed7834f01754be8624e9cb530aa8f3f94,2025-11-03T10:56:19Z,2025-11-03T11:24:53Z,2025-11-03T07:38:33Z,keshavprashantdeshpande,False,0,12,0,0.1373379629629629,False,True,6,True,1,8,0,8,True,4,134,13,147,Q,Shared error with 6 similar failure(s)
44982,https://github.com/keycloak/keycloak/pull/44982,58387651623,Admin UI,https://github.com/keycloak/keycloak/actions/runs/20324805514/job/58387651623,29d28bb5650281b7a95cd829cbf957f685034ba8,2025-12-18T03:15:16Z,2025-12-18T03:16:54Z,2025-12-18T03:14:59Z,dependabot[bot],False,0,22,0,0.0001967592592592,False,False,0,True,9,1108,1446,2554,False,0,0,0,0,Q,CI runner error
44411,https://github.com/keycloak/keycloak/pull/44411,56326545716,Status Check - Keycloak Documentation,https://github.com/keycloak/keycloak/actions/runs/19659765998/job/56326545716,cebb3fc2cca43888e0227a5f2d265ed2d005b9cb,2025-11-25T10:55:06Z,2025-11-25T10:55:12Z,2025-11-24T05:21:13Z,AlphaChen,False,2,17,5,1.231863425925926,True,False,0,False,0,0,0,0,True,2,3,3,6,Q,"Retry succeeded (same commit, no new code)"
44653,https://github.com/keycloak/keycloak/pull/44653,57096212763,Account UI E2E (chromium),https://github.com/keycloak/keycloak/actions/runs/19916412915/job/57096212763,b26f4c3f13520eef733788f6dd82f49aab24aea0,2025-12-04T03:19:03Z,2025-12-04T03:21:25Z,2025-12-04T03:14:15Z,dependabot[bot],False,1,17,0,0.0033333333333333,False,False,0,True,9,865,1191,2056,False,0,0,0,0,N,No clear unrelated indicator
44259,https://github.com/keycloak/keycloak/pull/44259,55580226439,Test OLM installation,https://github.com/keycloak/keycloak/actions/runs/19427987925/job/55580226439,22deeda2c09c55a60979f9a1bc6cc55c0739a0c7,2025-11-17T11:29:51Z,2025-11-17T11:43:03Z,2025-11-17T11:25:33Z,reda-alaoui,False,2,11,0,0.0029861111111111,False,False,0,False,0,0,0,0,True,1,5,0,5,N,No clear unrelated indicator
