pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified,label,label_reason
44874,https://github.com/keycloak/keycloak/pull/44874,58088902921,Admin UI E2E (chromium),https://github.com/keycloak/keycloak/actions/runs/20235335432/job/58088902921,dc78fbe8cf9c35301214eeeaee83cff245ce6faf,2025-12-15T14:19:54Z,2025-12-15T14:37:01Z,2025-12-12T10:36:27Z,forkimenjeckayang,False,0,10,0,3.155173611111111,False,False,0,False,0,0,0,0,True,2,60,55,115,N,No clear unrelated indicator
45050,https://github.com/keycloak/keycloak/pull/45050,58566523839,"Quarkus IT (windows-latest, win)",https://github.com/keycloak/keycloak/actions/runs/20379461752/job/58566523839,9555b7a025653746e79e41f0a696d0fbd3de9073,2025-12-19T18:53:49Z,2025-12-19T19:12:34Z,2025-12-19T18:15:44Z,shawkins,False,1,14,1,0.0264467592592592,False,False,0,False,0,0,0,0,True,3,64,34,98,N,No clear unrelated indicator
44982,https://github.com/keycloak/keycloak/pull/44982,58387651611,Account UI,https://github.com/keycloak/keycloak/actions/runs/20324805514/job/58387651611,29d28bb5650281b7a95cd829cbf957f685034ba8,2025-12-18T03:15:16Z,2025-12-18T03:16:01Z,2025-12-18T03:14:59Z,dependabot[bot],False,0,22,0,0.0001967592592592,False,False,0,True,9,1108,1446,2554,False,0,0,0,0,N,No clear unrelated indicator
44653,https://github.com/keycloak/keycloak/pull/44653,57096212763,Account UI E2E (chromium),https://github.com/keycloak/keycloak/actions/runs/19916412915/job/57096212763,b26f4c3f13520eef733788f6dd82f49aab24aea0,2025-12-04T03:19:03Z,2025-12-04T03:21:25Z,2025-12-04T03:14:15Z,dependabot[bot],False,1,17,0,0.0033333333333333,False,False,0,True,9,865,1191,2056,False,0,0,0,0,N,No clear unrelated indicator
44259,https://github.com/keycloak/keycloak/pull/44259,55580226439,Test OLM installation,https://github.com/keycloak/keycloak/actions/runs/19427987925/job/55580226439,22deeda2c09c55a60979f9a1bc6cc55c0739a0c7,2025-11-17T11:29:51Z,2025-11-17T11:43:03Z,2025-11-17T11:25:33Z,reda-alaoui,False,2,11,0,0.0029861111111111,False,False,0,False,0,0,0,0,True,1,5,0,5,N,No clear unrelated indicator
44653,https://github.com/keycloak/keycloak/pull/44653,57100060085,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/19916412926/job/57100060085,b26f4c3f13520eef733788f6dd82f49aab24aea0,2025-12-04T04:29:41Z,2025-12-04T04:29:49Z,2025-12-04T03:14:15Z,dependabot[bot],False,1,17,0,0.0523842592592592,False,False,0,True,9,865,1191,2056,False,0,0,0,0,N,No clear unrelated indicator
44995,https://github.com/keycloak/keycloak/pull/44995,58446156666,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20340899282/job/58446156666,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T15:47:52Z,2025-12-18T15:48:02Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.1538541666666666,False,False,0,False,0,0,0,0,True,5,9,5,14,N,No clear unrelated indicator
44219,https://github.com/keycloak/keycloak/pull/44219,55395613736,label,https://github.com/keycloak/keycloak/actions/runs/19361895642/job/55395613736,01a28e2d0df0d37009ef8d92cf3877d8506c581f,2025-11-14T10:34:50Z,2025-11-14T10:34:57Z,2025-11-14T10:33:05Z,vaceksimon,False,0,24,0,0.0012152777777777,False,False,0,True,2,14,1,15,False,0,0,0,0,N,No clear unrelated indicator
43842,https://github.com/keycloak/keycloak/pull/43842,54075211179,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/18939604201/job/54075211179,e6b473f6edad52e567780ea7b4054b37fdae9307,2025-10-30T11:53:54Z,2025-10-30T11:53:59Z,2025-10-30T11:48:17Z,mabartos,False,0,21,0,0.0039004629629629,False,False,0,True,3,12,9,21,False,0,0,0,0,N,No clear unrelated indicator
44763,https://github.com/keycloak/keycloak/pull/44763,57515881941,Status Check - Keycloak JavaScript CI,https://github.com/keycloak/keycloak/actions/runs/20054104809/job/57515881941,52a799d9155d377f2df572dc9ac5cad40eb78b30,2025-12-09T06:25:47Z,2025-12-09T06:25:54Z,2025-12-09T06:23:44Z,dima-bzz,False,2,10,0,0.0014236111111111,False,False,0,True,1,19,19,38,False,0,0,0,0,N,No clear unrelated indicator
