pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified,label,label_reason
36161,https://github.com/keycloak/keycloak/pull/36161,58525800150,External links check,https://github.com/keycloak/keycloak/actions/runs/20367441848/job/58525800150,a9df28440227b8e7615e515f73ed56bd73bd30f7,2025-12-19T10:36:59Z,2025-12-19T10:40:32Z,2024-12-29T17:54:30Z,seiferma,True,2,14,5,354.6961689814815,False,True,60,False,0,0,0,0,True,3,20,16,36,P,Heuristic: has_unrelated_discussion=True
45030,https://github.com/keycloak/keycloak/pull/45030,58524861785,Test local apiserver,https://github.com/keycloak/keycloak/actions/runs/20367050007/job/58524861785,0da8fa49941d55a1c65cfcd6ffe67a112250405b,2025-12-19T10:24:51Z,2025-12-19T10:30:33Z,2025-12-19T10:20:26Z,lhanusov,True,1,14,0,0.0030671296296296,True,True,36,False,0,0,0,0,True,1,2,0,2,P,Heuristic: has_unrelated_discussion=True
45030,https://github.com/keycloak/keycloak/pull/45030,58524861801,Test remote (fast),https://github.com/keycloak/keycloak/actions/runs/20367050007/job/58524861801,0da8fa49941d55a1c65cfcd6ffe67a112250405b,2025-12-19T10:24:51Z,2025-12-19T10:49:12Z,2025-12-19T10:20:26Z,lhanusov,True,1,14,0,0.0030671296296296,True,True,34,False,0,0,0,0,True,1,2,0,2,P,Heuristic: has_unrelated_discussion=True
45030,https://github.com/keycloak/keycloak/pull/45030,58526736913,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20367050007/job/58526736913,0da8fa49941d55a1c65cfcd6ffe67a112250405b,2025-12-19T10:49:31Z,2025-12-19T10:49:39Z,2025-12-19T10:20:26Z,lhanusov,True,1,14,0,0.0201967592592592,True,False,0,False,0,0,0,0,True,1,2,0,2,P,Heuristic: has_unrelated_discussion=True
43581,https://github.com/keycloak/keycloak/pull/43581,53159724815,FIPS IT (strict),https://github.com/keycloak/keycloak/actions/runs/18648023996/job/53159724815,3cee2c94c765a05ca90cb5f3deb262e97aebaf97,2025-10-20T09:39:46Z,2025-10-20T09:40:50Z,2025-10-17T14:03:11Z,vaceksimon,True,1,9,0,2.81707175925926,True,False,0,False,0,0,0,0,True,7,337,246,583,P,Heuristic: has_unrelated_discussion=True
43581,https://github.com/keycloak/keycloak/pull/43581,53164708565,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/18648023996/job/53164708565,3cee2c94c765a05ca90cb5f3deb262e97aebaf97,2025-10-20T10:51:07Z,2025-10-20T10:51:16Z,2025-10-17T14:03:11Z,vaceksimon,True,1,9,0,2.8666203703703705,True,False,0,False,0,0,0,0,True,7,337,246,583,P,Heuristic: has_unrelated_discussion=True
43869,https://github.com/keycloak/keycloak/pull/43869,54124964418,External links check,https://github.com/keycloak/keycloak/actions/runs/18953715888/job/54124964418,d03cee814bba1b447b58f44f037d4699097c2f07,2025-10-30T20:10:31Z,2025-10-30T20:12:02Z,2025-10-30T20:08:22Z,ahus1,True,2,21,0,0.0014930555555555,False,True,28,False,0,0,0,0,True,4,9,9,18,P,Heuristic: has_unrelated_discussion=True
36462,https://github.com/keycloak/keycloak/pull/36462,36286181529,"Admin UI E2E (1, chrome)",https://github.com/keycloak/keycloak/actions/runs/13010131369/job/36286181529,7ccaa8f6d0862267103767dc33a0bbbb96e9deca,2025-01-28T12:18:22Z,2025-01-28T12:29:14Z,2025-01-14T17:01:36Z,martin-kanis,True,1,27,3,13.803310185185186,True,False,0,True,1,2,0,2,True,11,110,27,137,P,Heuristic: has_unrelated_discussion=True
36462,https://github.com/keycloak/keycloak/pull/36462,36286770076,Status Check - Keycloak JavaScript CI,https://github.com/keycloak/keycloak/actions/runs/13010131369/job/36286770076,7ccaa8f6d0862267103767dc33a0bbbb96e9deca,2025-01-28T12:29:21Z,2025-01-28T12:29:27Z,2025-01-14T17:01:36Z,martin-kanis,True,1,27,3,13.8109375,True,False,0,True,1,2,0,2,True,11,110,27,137,P,Heuristic: has_unrelated_discussion=True
42797,https://github.com/keycloak/keycloak/pull/42797,51329786113,"Java Distribution IT (ubuntu-latest, temurin, 17)",https://github.com/keycloak/keycloak/actions/runs/18038008311/job/51329786113,70091f98a1a264a79c4747283142278f8b1cee5c,2025-09-26T12:44:57Z,2025-09-26T12:46:34Z,2025-09-21T13:03:34Z,Pepo48,True,1,14,0,4.987071759259259,True,False,0,True,1,12,29,41,False,0,0,0,0,P,Heuristic: has_unrelated_discussion=True
42797,https://github.com/keycloak/keycloak/pull/42797,51329786121,"Java Distribution IT (windows-latest, temurin, 17)",https://github.com/keycloak/keycloak/actions/runs/18038008311/job/51329786121,70091f98a1a264a79c4747283142278f8b1cee5c,2025-09-26T12:44:57Z,2025-09-26T12:47:28Z,2025-09-21T13:03:34Z,Pepo48,True,1,14,0,4.987071759259259,True,False,0,True,1,12,29,41,False,0,0,0,0,P,Heuristic: has_unrelated_discussion=True
42797,https://github.com/keycloak/keycloak/pull/42797,51329786122,"Java Distribution IT (ubuntu-latest, temurin, 25)",https://github.com/keycloak/keycloak/actions/runs/18038008311/job/51329786122,70091f98a1a264a79c4747283142278f8b1cee5c,2025-09-26T12:44:57Z,2025-09-26T12:46:46Z,2025-09-21T13:03:34Z,Pepo48,True,1,14,0,4.987071759259259,True,False,0,True,1,12,29,41,False,0,0,0,0,P,Heuristic: has_unrelated_discussion=True
42797,https://github.com/keycloak/keycloak/pull/42797,51329786142,"Java Distribution IT (windows-latest, temurin, 25)",https://github.com/keycloak/keycloak/actions/runs/18038008311/job/51329786142,70091f98a1a264a79c4747283142278f8b1cee5c,2025-09-26T12:44:57Z,2025-09-26T12:47:48Z,2025-09-21T13:03:34Z,Pepo48,True,1,14,0,4.987071759259259,True,False,0,True,1,12,29,41,False,0,0,0,0,P,Heuristic: has_unrelated_discussion=True
